persons_count,landing_year,noc_2011_level4_eng_desc
60,2001,0632 - Accommodation service managers
75,2001,"0651 - Managers in customer and personal services, n.e.c."
35,2001,0711 - Construction managers
10,2001,0712 - Home building and renovation managers
90,2001,0714 - Facility operation and maintenance managers
40,2001,0731 - Managers in transportation
10,2001,0811 - Managers in natural resources production and fishing
325,2001,0821 - Managers in agriculture
20,2001,0822 - Managers in horticulture
--,2001,0823 - Managers in aquaculture
80,2001,0911 - Manufacturing managers
--,2001,0912 - Utilities managers
2130,2001,1111 - Financial auditors and accountants
1265,2001,1112 - Financial and investment analysts
30,2001,"1113 - Securities agents, investment dealers and brokers"
110,2001,1114 - Other financial officers
110,2001,1121 - Human resources professionals
1565,2001,1122 - Professional occupations in business management consulting
170,2001,"1123 - Professional occupations in advertising, marketing and public relations"
40,2001,"1211 - Supervisors, general office and administrative support workers"
25,2001,"1212 - Supervisors, finance and insurance office workers"
--,2001,"1214 - Supervisors, mail and message distribution occupations"
--,2001,"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations"
400,2001,1221 - Administrative officers
100,2001,1222 - Executive assistants
445,2001,1223 - Human resources and recruitment officers
15,2001,1224 - Property administrators
515,2001,1225 - Purchasing agents and officers
5,2001,1226 - Conference and event planners
15,2001,"1228 - Employment insurance, immigration, border services and revenue officers"
1375,2001,1241 - Administrative assistants
55,2001,1242 - Legal administrative assistants
45,2001,1243 - Medical administrative assistants
20,2001,"1251 - Court reporters, medical transcriptionists and related occupations"
10,2001,1252 - Health information management occupations
195,2001,1311 - Accounting technicians and bookkeepers
15,2001,1312 - Insurance adjusters and claims examiners
20,2001,1313 - Insurance underwriters
10,2001,"1314 - Assessors, valuators and appraisers"
10,2001,"1315 - Customs, ship and other brokers"
400,2001,1411 - General office support workers
110,2001,1414 - Receptionists
15,2001,1415 - Personnel clerks
--,2001,1416 - Court clerks
50,2001,1422 - Data entry clerks
15,2001,1423 - Desktop publishing operators and related occupations
240,2001,1431 - Accounting and related clerks
--,2001,1432 - Payroll clerks
180,2001,"1434 - Banking, insurance and other financial clerks"
10,2001,1435 - Collectors
--,2001,1451 - Library assistants and clerks
15,2001,"1452 - Correspondence, publication and regulatory clerks"
5,2001,1454 - Survey interviewers and statistical clerks
15,2001,"1511 - Mail, postal and related workers"
--,2001,1512 - Letter carriers
15,2001,"1513 - Couriers, messengers and door-to-door distributors"
45,2001,1521 - Shippers and receivers
35,2001,1522 - Storekeepers and partspersons
30,2001,1523 - Production logistics co-ordinators
30,2001,1524 - Purchasing and inventory control workers
10,2001,1525 - Dispatchers
5,2001,1526 - Transportation route and crew schedulers
245,2001,2111 - Physicists and astronomers
1065,2001,2112 - Chemists
295,2001,2113 - Geoscientists and oceanographers
45,2001,2114 - Meteorologists and climatologists
135,2001,2115 - Other professional occupations in physical sciences
945,2001,2121 - Biologists and related scientists
95,2001,2122 - Forestry professionals
475,2001,"2123 - Agricultural representatives, consultants and specialists"
2895,2001,2131 - Civil engineers
4175,2001,2132 - Mechanical engineers
4420,2001,2133 - Electrical and electronics engineers
1215,2001,2134 - Chemical engineers
580,2001,2141 - Industrial and manufacturing engineers
580,2001,2142 - Metallurgical and materials engineers
125,2001,2143 - Mining engineers
150,2001,2144 - Geological engineers
215,2001,2145 - Petroleum engineers
135,2001,2146 - Aerospace engineers
1670,2001,2147 - Computer engineers (except software engineers and designers)
725,2001,"2148 - Other professional engineers, n.e.c."
250,2001,2151 - Architects
35,2001,2152 - Landscape architects
100,2001,2153 - Urban and land use planners
5,2001,2154 - Land surveyors
235,2001,"2161 - Mathematicians, statisticians and actuaries"
320,2001,2211 - Chemical technologists and technicians
50,2001,2212 - Geological and mineral technologists and technicians
135,2001,2221 - Biological technologists and technicians
5,2001,2222 - Agricultural and fish products inspectors
35,2001,2223 - Forestry technologists and technicians
15,2001,2224 - Conservation and fishery officers
80,2001,2225 - Landscape and horticulture technicians and specialists
505,2001,2231 - Civil engineering technologists and technicians
715,2001,2232 - Mechanical engineering technologists and technicians
280,2001,2233 - Industrial engineering and manufacturing technologists and technicians
110,2001,2234 - Construction estimators
1225,2001,2241 - Electrical and electronics engineering technologists and technicians
160,2001,2242 - Electronic service technicians (household and business equipment)
270,2001,2243 - Industrial instrument technicians and mechanics
90,2001,"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
20,2001,2251 - Architectural technologists and technicians
60,2001,2252 - Industrial designers
320,2001,2253 - Drafting technologists and technicians
30,2001,2254 - Land survey technologists and technicians
60,2001,2255 - Technical occupations in geomatics and meteorology
5,2001,2261 - Non-destructive testers and inspection technicians
30,2001,2262 - Engineering inspectors and regulatory officers
25,2001,2263 - Inspectors in public and environmental health and occupational health and safety
5,2001,2264 - Construction inspectors
150,2001,"2271 - Air pilots, flight engineers and flying instructors"
35,2001,2272 - Air traffic controllers and related occupations
15,2001,"2273 - Deck officers, water transport"
15,2001,"2274 - Engineer officers, water transport"
--,2001,2275 - Railway traffic controllers and marine traffic regulators
